Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing,Seat
Michael D Higgins,Labour,3346,0.1348,0.54,0,,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Padraic Joyce,Non party/Independent,411,0.0166,0.07,0,,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Thomas McEllistrim,Fianna Fail,7263,0.26030000000000003,1.04,0,1,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
Dan Spring,Labour,5856,0.20989999999999998,0.84,0,2,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
Gerard M Lynch,Fine Gael,4592,0.1646,0.66,0,3,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
Kit Ahern,Fianna Fail,5786,0.20739999999999997,0.83,0,,Female,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
Joseph Keohane,Non party/Independent,695,0.024900000000000002,0.10,0,,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
John Blennerhassett,Fine Gael,1938,0.0695,0.28,0,,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
John Larkin,Non party/Independent,1773,0.0635,0.25,0,,Male,1973-02-28,not available,7,3,Kerry North,Ciarrai Thuaidh,6976,,
John O'Leary,Fianna Fail,8286,0.3031,1.21,0,1,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Timothy O'Connor,Fianna Fail,5819,0.21280000000000002,0.85,0,2,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Michael Begley,Fine Gael,5390,0.1971,0.79,0,3,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Patrick Callaghan,Sinn Féin,1014,0.0371,0.15,0,,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Daniel Barry,Fine Gael,3025,0.1106,0.44,0,,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Michael Moynihan,Labour,3806,0.1392,0.56,0,,Male,1973-02-28,not available,6,3,Kerry South,Ciarrai Theas,6836,,
Paddy Power,Fianna Fail,8894,0.2933,1.17,0,1,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
Patrick Malone,Fine Gael,6581,0.217,0.87,0,2,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
Joe Bermingham,Labour,6791,0.22399999999999998,0.90,0,3,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
Terence Boylan,Fianna Fail,4898,0.16149999999999998,0.65,0,,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
James McEvoy,Fine Gael,1716,0.056600000000000004,0.23,0,,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
Patrick Dooley,Fianna Fail,1441,0.0475,0.19,0,,Male,1973-02-28,not available,6,3,Kildare,Cill Dara,7581,,
Oliver J Flanagan,Fine Gael,8205,0.1827,1.10,0,1,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Paddy Lalor,Fianna Fail,8160,0.18170000000000003,1.09,0,2,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Tom Enright,Fine Gael,5020,0.1118,0.67,0,3,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Charles McDonald,Fine Gael,3151,0.0702,0.42,0,4,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Ger C Connolly,Fianna Fail,4829,0.1075,0.65,0,5,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Thomas Culliton,Fianna Fail,748,0.0167,0.10,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
James Houlihan,Fianna Fail,2274,0.0506,0.30,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Henry Byrne,Labour,952,0.0212,0.13,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Thomas C Dolan,Non party/Independent,906,0.0202,0.12,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Thomas Keenan,Fine Gael,2389,0.053200000000000004,0.32,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Bernard F Cowen,Fianna Fail,4384,0.09759999999999999,0.59,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Lar Byrne,Labour,1253,0.0279,0.17,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Johnny Butterfield,Fine Gael,2643,0.0588,0.35,0,,Male,1973-02-28,not available,13,5,Laoighis Offaly,Laois Uibh Fhaili,7486,,
Des O'Malley,Fianna Fail,7806,0.20989999999999998,1.05,0,1,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Tom G O'Donnell,Fine Gael,6841,0.184,0.92,0,2,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Michael Herbert,Fianna Fail,4532,0.1219,0.61,0,3,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Stephen Coughlan,Labour,5495,0.1478,0.74,0,4,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Pat Kennedy,Fine Gael,2456,0.066,0.33,0,,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Peadar Clohessy,Fianna Fail,3242,0.0872,0.44,0,,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Michael Lipper,Labour,3292,0.0885,0.44,0,,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Edward Russell,Fine Gael,3523,0.0947,0.47,0,,Male,1973-02-28,not available,8,4,Limerick East,Luimneach Thoir,7438,,
Gerry Collins,Fianna Fail,9679,0.3393,1.36,0,1,Male,1973-02-28,not available,5,3,Limerick West,Luimneach Thiar,7132,,
Michael J Noonan,Fianna Fail,5398,0.1892,0.76,0,2,Male,1973-02-28,not available,5,3,Limerick West,Luimneach Thiar,7132,,
Denis Jones,Fine Gael,6403,0.2245,0.90,0,3,Male,1973-02-28,not available,5,3,Limerick West,Luimneach Thiar,7132,,
William O'Brien,Fine Gael,4253,0.1491,0.60,0,,Male,1973-02-28,not available,5,3,Limerick West,Luimneach Thiar,7132,,
Brendan Danaher,Fine Gael,2792,0.09789999999999999,0.39,0,,Male,1973-02-28,not available,5,3,Limerick West,Luimneach Thiar,7132,,
Paddy M Cooney,Fine Gael,6973,0.19149999999999998,0.96,0,1,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Joseph Sheridan,Non party/Independent,6841,0.18789999999999998,0.94,0,2,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Gerry L'Estrange,Fine Gael,4759,0.1307,0.65,0,3,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Frank Carter,Fianna Fail,5882,0.1616,0.81,0,4,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Thomas Kilbride,Fine Gael,1729,0.0475,0.24,0,,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Seán Fallon,Fianna Fail,3304,0.0908,0.45,0,,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Seán Keegan,Fianna Fail,4792,0.1316,0.66,0,,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Jack Coleman,Labour,2127,0.0584,0.29,0,,Male,1973-02-28,not available,8,4,Longford Westmeath,An Longfort An Lar Mhi,7282,,
Padraig Faulkner,Fianna Fail,9256,0.2956,1.18,0,1,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Joseph Farrell,Fianna Fail,6767,0.2161,0.86,0,2,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Patrick S Donegan,Fine Gael,6787,0.2167,0.87,0,3,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
James Sarsfield,Non party/Independent,263,0.0084,0.03,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Paul Callan,Labour,2577,0.0823,0.33,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Donnchadha MacRaghnaill,Sinn Féin,1450,0.0463,0.19,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Micheál O'Donnell,Non party/Independent,472,0.0151,0.06,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Geoffrey Eager,Non party/Independent,210,0.0067,0.03,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Brid O'Rourke,Fine Gael,3532,0.1128,0.45,0,,Male,1973-02-28,not available,9,3,Louth,Lu,7829,,
Seán Calleary,Fianna Fail,6725,0.26,1.04,0,1,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Martin Finn,Fine Gael,5842,0.2259,0.90,0,2,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Seán Flanagan,Fianna Fail,3290,0.1272,0.51,0,3,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Thomas Dillon Leetch,Labour,1432,0.0554,0.22,0,,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
P J Morley,Fianna Fail,3218,0.1244,0.50,0,,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Paddy O'Toole,Fine Gael,1850,0.07150000000000001,0.29,0,,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Thomas O'Hara,Fine Gael,3507,0.1356,0.54,0,,Male,1973-02-28,not available,7,3,Mayo East,(Connaught),6467,,
Myles Staunton Snr,Fine Gael,6381,0.25420000000000004,1.02,0,1,Male,1973-02-28,not available,5,3,Mayo West,(Connaught),6277,,
Denis Gallagher,Fianna Fail,4255,0.16949999999999998,0.68,0,2,Male,1973-02-28,not available,5,3,Mayo West,(Connaught),6277,,
Henry Kenny,Fine Gael,6024,0.23989999999999997,0.96,0,3,Male,1973-02-28,not available,5,3,Mayo West,(Connaught),6277,,
Joseph R Lenehan,Fianna Fail,3475,0.1384,0.55,0,,Male,1973-02-28,not available,5,3,Mayo West,(Connaught),6277,,
Michael Moran,Fianna Fail,4971,0.198,0.79,0,,Male,1973-02-28,not available,5,3,Mayo West,(Connaught),6277,,
Brendan Crinion,Fianna Fail,8555,0.2798,1.12,0,1,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
John Bruton,Fine Gael,8099,0.26489999999999997,1.06,0,2,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
James Tully,Labour,5824,0.1905,0.76,0,3,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
Denis Farrelly,Fine Gael,974,0.0319,0.13,0,,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
Desmond Ferguson,Non party/Independent,1427,0.0467,0.19,0,,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
Michael Hilliard,Fianna Fail,5695,0.1863,0.75,0,,Male,1973-02-28,not available,6,3,Meath,An Mhi,7644,,
Erskine Childers,Fianna Fail,8431,0.3024,1.21,0,1,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
John Conlon,Fine Gael,6075,0.21789999999999998,0.87,0,2,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Jimmy Leonard,Fianna Fail,3460,0.1241,0.50,0,3,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Val Kerr,Non party/Independent,461,0.0165,0.07,0,,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Patrick Mooney,Non party/Independent,2105,0.0755,0.30,0,,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Patrick Turley,Non party/Independent,1827,0.0655,0.26,0,,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Billy Fox,Fine Gael,3632,0.1303,0.52,0,,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Bernard Markey,Fine Gael,1890,0.0678,0.27,0,,Male,1973-02-28,not available,8,3,Monaghan,(Ulster),6971,,
Joan T Burke,Fine Gael,7241,0.25429999999999997,1.02,0,1,Female,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Patrick Reynolds,Fine Gael,4706,0.1653,0.66,0,2,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Dr Hugh Gibbons,Fianna Fail,5689,0.1998,0.80,0,3,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Gerald Dodd,Fine Gael,1801,0.0632,0.25,0,,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Anthony O'Connell,Labour,503,0.0177,0.07,0,,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Frances Grehan,Sinn Féin,770,0.027000000000000003,0.11,0,,Female,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Farrell McElgunn,Fianna Fail,1704,0.059800000000000006,0.24,0,,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Brian Lenihan Snr,Fianna Fail,5548,0.1948,0.78,0,,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Thomas McCrann,Non party/Independent,513,0.018000000000000002,0.07,0,,Male,1973-02-28,not available,9,3,Roscommon Leitrim,Ros Comain Liatroim,7119,,
Ray MacSharry,Fianna Fail,7535,0.258,1.03,0,1,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Joseph McLoughlin,Fine Gael,5743,0.1967,0.79,0,2,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Eugene Gilhawley,Fine Gael,6520,0.22329999999999997,0.89,0,3,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Thomas Higgins,Labour,2158,0.0739,0.30,0,,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Joseph Mooney,Fianna Fail,2325,0.0796,0.32,0,,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Bernard Brennan,Fianna Fail,4922,0.1685,0.67,0,,Male,1973-02-28,not available,6,3,Sligo Leitrim,Sligeach Liatroim,7301,,
Thomas Dunne,Fine Gael,6397,0.2256,0.90,0,1,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
Michael O'Kennedy,Fianna Fail,5709,0.2014,0.81,0,2,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
John J Ryan,Labour,5427,0.19140000000000001,0.77,0,3,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
Michael Smith,Fianna Fail,4976,0.17550000000000002,0.70,0,,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
John Doyle,Fianna Fail,3645,0.1286,0.51,0,,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
Liam Whyte,Fine Gael,2198,0.0775,0.31,0,,Male,1973-02-28,not available,6,3,Tipperary North,Tiobraid Arann Thuaidh,7089,,
Seán Treacy,Labour,7611,0.2059,1.03,0,1,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Brendan Griffin,Fine Gael,5777,0.1563,0.78,0,2,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Jackie Fahey,Fianna Fail,7317,0.198,0.99,0,3,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Noel Davern,Fianna Fail,6117,0.1655,0.83,0,4,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
William Ryan,Fianna Fail,4793,0.1297,0.65,0,,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Michael Smyth,Fine Gael,2360,0.0639,0.32,0,,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Terence Darmody,Fine Gael,2982,0.08070000000000001,0.40,0,,Male,1973-02-28,not available,7,4,Tipperary South,Tiobraid Arann Theas,7392,,
Edward Collins,Fine Gael,6719,0.21780000000000002,0.87,0,1,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Thomas Kyne,Labour,4939,0.16010000000000002,0.64,0,2,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Billy Kenneally Jnr,Fianna Fail,6607,0.21420000000000003,0.86,0,3,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Fad Browne,Fianna Fail,6047,0.196,0.78,0,,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Charles Curran,Fianna Fail,1882,0.061,0.24,0,,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Austin Deasy,Fine Gael,4658,0.151,0.60,0,,Male,1973-02-28,not available,6,3,Waterford,Port Lairge,7714,,
Brendan Corish,Labour,7863,0.2078,1.04,0,1,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Seán Browne,Fianna Fail,6289,0.16620000000000001,0.83,0,2,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Lorcan Allen,Fianna Fail,5978,0.158,0.79,0,3,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,TD,
John Esmonde,Fine Gael,5074,0.1341,0.67,0,4,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Seán O'Gorman,Fianna Fail,3487,0.09210000000000002,0.46,0,,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Michael D'Arcy Snr,Fine Gael,4487,0.1186,0.59,0,,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Patrick Ronan,Fine Gael,1887,0.0499,0.25,0,,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Andrew Doyle,Labour,2781,0.0735,0.37,0,,Male,1973-02-28,not available,8,4,Wexford,Loch Garman,7570,,
Godfrey Timmins,Fine Gael,6960,0.23579999999999998,0.94,0,1,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Liam Kavanagh,Labour,3231,0.1094,0.44,0,2,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Ciaran Murphy,Fianna Fail,4521,0.1531,0.61,0,3,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Mary Walsh,Fine Gael,2858,0.0968,0.39,0,,Female,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Tom Byrne,Labour,1094,0.0371,0.15,0,,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Jimmy Miley,Fianna Fail,4095,0.1387,0.55,0,,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Seamus Costello,Sinn Féin,1966,0.0666,0.27,0,,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Basil Phelan,Fianna Fail,2296,0.07780000000000001,0.31,0,,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Paudge Brennan,Non party/Independent,2500,0.08470000000000001,0.34,0,,Male,1973-02-28,not available,9,3,Wicklow,Cill Mhantain,7381,,
Kieran Crotty,Fine Gael,7119,0.1284,0.77,0,1,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Tom Nolan,Fianna Fail,8376,0.15109999999999998,0.91,0,2,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Jim Gibbons Snr,Fianna Fail,8143,0.1469,0.88,0,3,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Liam Aylward,Fianna Fail,6317,0.114,0.68,0,4,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Seamus Pattison,Labour,6276,0.11320000000000001,0.68,0,5,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Thomas Coogan,Fine Gael,1510,0.027200000000000002,0.16,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Seán Walsh,Sinn Féin,1666,0.0301,0.18,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Desmond Governey,Fine Gael,5990,0.1081,0.65,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
John McNally,Labour,1430,0.0258,0.15,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Peter O'Hanrahan,Fine Gael,1214,0.0219,0.13,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Patrick Carpenter,Fianna Fail,2673,0.0482,0.29,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
John Bolger,Non party/Independent,589,0.0106,0.06,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Mick Lanigan Snr,Fianna Fail,4126,0.07440000000000001,0.45,0,,Male,1977-06-16,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9239,,
Brendan Daly,Fianna Fail,11933,0.3488,1.40,0,1,Male,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Sylvester Barrett,Fianna Fail,11626,0.3398,1.36,0,2,Male,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Frank Taylor,Fine Gael,5080,0.1485,0.59,0,3,Male,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Hugh O'Brien,Non party/Independent,153,0.0045000000000000005,0.02,0,,Male,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Agnes McCarthy,Labour,1495,0.0437,0.17,0,,Female,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Donal Carey,Fine Gael,3923,0.11470000000000001,0.46,0,,Male,1977-06-16,not available,6,3,Clare,An Clar,8553,,
Gene Fitzgerald,Fianna Fail,12179,0.19879999999999998,1.19,0,1,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Thomas Meaney,Fianna Fail,11877,0.19390000000000002,1.16,0,2,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Donal Creed,Fine Gael,8088,0.1321,0.79,0,3,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Eileen Desmond,Labour,8902,0.14529999999999998,0.87,0,4,Female,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Barry Cogan,Fianna Fail,6563,0.1072,0.64,0,5,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
John Dennehy,Fianna Fail,4522,0.0738,0.44,0,,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Frank Crowley,Fine Gael,4681,0.0764,0.46,0,,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Seán A O'Leary,Fine Gael,4436,0.0724,0.43,0,,Male,1977-06-16,not available,8,5,Cork Mid,(Munster),10209,,
Seán Brosnan,Fianna Fail,8840,0.1866,0.93,0,1,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Dick Barry,Fine Gael,7590,0.1602,0.80,0,2,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Jerry Cronin,Fianna Fail,8352,0.17629999999999998,0.88,0,3,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Paddy Hegarty,Fine Gael,6117,0.1291,0.65,0,4,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Liam Duggan,Labour,1094,0.0231,0.12,0,,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Carey P Joyce,Fianna Fail,5630,0.1189,0.59,0,,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
Noel Collins,Non party/Independent,2433,0.051399999999999994,0.26,0,,Male,1977-06-16,not available,10,4,Cork North East,(Munster),9474,,
